64,Viserys Targaryen,Harry Lloyd,6,20.5,,,,,,,,,,,,,20.5
65,Gregor 'The Mountain' Clegane,Conan Stevens,2,2.5,3,1.75,,,3,4.75,1,0.5,5,9.25,3,1.5,20.25
66,Jojen Reed,Thomas Brodie-Sangster,,,,,6,9.75,4,9.25,,,,,,,19.0
67,Lancel Lannister,Eugene Simon,5,3.25,3,6.5,,,,,5,4.0,4,5.25,,,19.0
68,Maester Aemon,Peter Vaughan,3,5.5,,,1,1.25,4,6.0,3,6.25,,,,,19.0
69,Shireen Baratheon,Kerry Ingram,,,,,2,4.0,3,2.75,5,11.5,,,,,18.25
70,Edmure Tully,Tobias Menzies,,,,,5,10.5,,,,,3,7.25,,,17.75
71,Lysa Arryn,Kate Dickie,3,6.0,,,,,2,10.5,,,,,,,16.5
72,Brynden 'Blackfish' Tully,Clive Russell,,,,,5,9.5,,,,,2,6.5,,,16.0
73,Meryn Trant,Ian Beattie,2,3.0,3,2.75,3,1.25,4,1.75,6,7.25,,,,,16.0
74,Walder Frey,David Bradley,1,3.0,,,2,7.0,,,,,2,5.75,,,15.75
75,Hot Pie,Ben Hawkey,1,0.75,6,5.5,2,4.5,1,2.0,,,,,1,2.0,14.75
76,Euron Greyjoy,Pilou Asbæk,,,,,,,,,,,2,6.5,3,8.0,14.5
77,Janos Slynt,Dominic Carter,4,1.0,2,4.25,,,6,5.25,3,3.75,,,,,14.25
78,Locke,Noah Taylor,,,,,5,7.0,3,6.0,,,,,,,13.0
79,Myranda,Charlotte Hope,,,,,1,3.5,2,1.5,4,7.25,1,0.75,,,13.0
80,Benjen Stark,Joseph Mawle (and others),3,6.25,,,,,,,,,4,5.75,1,0.75,12.75
81,Rast,Luke Barnes,6,4.25,,,4,4.0,2,4.5,,,,,,,12.75
82,Rodrik Cassel,Ron Donachie,9,10.0,3,2.0,,,,,,,2,0.75,,,12.75
83,The Waif,Faye Marsay (and others) (and others),,,,,,,,,4,4.5,9,8.25,,,12.75
84,Doreah,Roxanne McKee,6,9.5,5,3.0,,,,,,,,,,,12.5
85,Olly,Brenock O'Connor,,,,,,,5,3.25,9,7.25,3,2.0,,,12.5
86,Rickon Stark,Art Parkinson,3,1.25,5,4.25,4,3.75,,,,,2,3.25,,,12.5
87,Septa Unella,Hannah Waddingham,,,,,,,,,3,7.5,5,5.0,,,12.5
88,Balon Greyjoy,Patrick Malahide,,,2,6.5,1,2.5,,,,,1,3.25,,,12.25
89,Pypar,Josef Altin,6,7.0,,,1,0.75,6,4.25,,,,,,,12.0
90,Yoren,Francis Magee,5,6.0,2,6.0,,,,,,,,,,,12.0
91,Hizdahr zo Loraq,Joel Fry,,,,,,,2,2.0,6,9.75,,,,,11.75
92,Myrcella Baratheon,Aimee Richardson,2,0.75,3,1.5,,,,,5,8.0,2,1.5,,,11.75
93,Mace Tyrell,Roger Ashton-Griffiths,,,,,,,4,3.75,5,3.5,4,4.25,,,11.5
94,Tyene Sand,Rosabell Laurenti Sellers,,,,,,,,,5,7.25,2,1.25,2,3.0,11.5
95,Karl Tanner,Burn Gorman,,,,,,,2,2.5,2,8.75,,,,,11.25
96,Robin Arryn,Lino Facioli,3,3.75,,,,,3,4.75,1,0.5,1,2.25,,,11.25
97,Selyse Baratheon,Sarah MacKeever,,,1,0.25,1,2.0,3,5.25,5,3.75,,,,,11.25
98,Xaro Xhoan Daxos,Nonso Anozie,,,5,10.5,,,,,,,,,,,10.5
99,Irri,Amrita Acharia,8,7.0,5,3.0,,,,,,,,,,,10.0
100,Kevan Lannister,Ian Gelder,3,2.0,1,0.75,,,,,3,2.25,5,5.0,,,10.0
101,Lady Crane,Essie Davis,,,,,,,,,,,3,10.0,,,10.0
102,Randyll Tarly,James Faulkner,,,,,,,,,,,1,4.0,3,5.75,9.75
103,Qhorin Halfhand,Simon Armstrong,,,4,9.5,,,,,,,,,,,9.5
104,Orell,Mackenzie Crook,,,,,6,9.0,,,,,,,,,9.0
105,Archmaester Ebrose,Jim Broadbent,,,,,,,,,,,,,4,8.75,8.75
106,Rakharo,Elyes Gabel,6,7.5,2,1.25,,,,,,,,,,,8.75
107,Alton Lannister,Karl Davies,,,3,8.25,,,,,,,,,,,8.25
108,Olyvar,Will Tudor,,,,,1,1.25,2,4.25,4,2.75,,,,,8.25
109,Three-Eyed Raven,Struan Rodger (and others),4,1.0,,,,,2,0.75,,,3,6.25,,,8.0
110,Nymeria Sand,Jessica Henwick,,,,,,,,,5,5.75,2,1.25,1,0.75,7.75
111,Yezzan zo Qaggaz,Enzo Cilenti,,,,,,,,,2,3.75,2,4.0,,,7.75
112,Doran Martell,Alexander Siddig,,,,,,,,,4,5.5,1,2.0,,,7.5
113,Mirri Maz Duur,Mia Soteriou,3,7.5,,,,,,,,,,,,,7.5
114,Obara Sand,Keisha Castle-Hughes,,,,,,,,,5,5.5,2,1.25,1,0.75,7.5
115,Wun Wun,Ian Whyte,,,,,,,,,2,3.0,3,4.5,,,7.5
116,Yohn Royce,Rupert Vansittart,,,,,,,1,3.0,1,0.75,2,2.0,4,1.75,7.5
117,Syrio Forel,Miltos Yerolemou,3,7.25,,,,,,,,,,,,,7.25
118,The Night King,Richard Brake,,,,,,,2,2.0,1,1.75,2,1.75,2,1.75,7.25
119,Razdal mo Eraz,George Georgiou,,,,,1,3.5,2,3.25,,,,,,,6.75
120,Tycho Nestoris,Mark Gatiss,,,,,,,1,2.75,1,0.5,,,2,3.5,6.75
121,Brother Ray,Ian McShane,,,,,,,,,,,1,6.5,,,6.5
122,Craster,Robert Pugh,,,3,3.5,2,3.0,,,,,,,,,6.5
123,Matthos Seaworth,Kerr Logan,,,3,6.5,,,,,,,,,,,6.5
124,Jory Cassel,Jamie Sives,5,6.25,,,,,,,,,,,,,6.25
125,Othell Yarwyck,Brian Fortune,2,1.0,,,,,3,1.25,6,2.0,3,2.0,,,6.25
126,Salladhor Saan,Lucian Msamati,,,1,3.0,1,2.0,1,1.25,,,,,,,6.25
127,Will,Bronson Webb,1,6.25,,,,,,,,,,,,,6.25
128,Polliver,Andy Kellegher,,,1,1.0,,,1,5.0,,,,,,,6.0
129,Septa Mordane,Susan Brown,6,6.0,,,,,,,,,,,,,6.0
130,Kraznys mo Nakloz,Dan Hildebrand,,,,,3,5.75,,,,,,,,,5.75
131,Spice King,Nicholas Blane,,,3,5.5,,,,,,,,,,,5.5
132,Styr,Yuri Kolokolnikov,,,,,,,4,5.5,,,,,,,5.5
133,Armeca,Sahara Knite,1,3.0,3,2.25,,,,,,,,,,,5.25
134,Dagmer Cleftjaw,Ralph Ineson,,,5,5.25,,,,,,,,,,,5.25
135,Karsi,Birgitte Hjort Sørensen,,,,,,,,,1,5.25,,,,,5.25
136,Khal Moro,Joseph Naufahu,,,,,,,,,,,3,5.25,,,5.25
137,Lyanna Mormont,Bella Ramsey,,,,,,,,,,,3,4.5,1,0.75,5.25
138,Qotho,Dar Salim,6,5.25,,,,,,,,,,,,,5.25
139,Rattleshirt,Edward Dogliani,,,2,3.0,1,1.0,,,1,1.25,,,,,5.25
140,Rickard Karstark,Steve Blount,1,0.25,2,1.75,2,3.25,,,,,,,,,5.25
141,Anguy,Philip McGinley,,,,,6,5.0,,,,,,,,,5.0
142,Greatjon Umber,Clive Mantle,3,5.0,,,,,,,,,,,,,5.0
143,Shagga,Mark Lewis Jones,2,5.0,,,,,,,,,,,,,5.0
144,Vala,Meena Rayann,,,,,,,,,2,2.0,1,3.0,,,5.0
145,Harald Karstark,Paul Rattray,,,,,,,,,,,3,4.75,,,4.75
146,Ser Dontos Hollard,Tony Way,,,1,1.25,,,3,3.5,,,,,,,4.75
147,Walder Rivers,Bryan McCaugherty,1,0.5,,,2,1.5,,,,,4,2.75,,,4.75
148,Dickon Tarly,Freddie Stroma,,,,,,,,,,,1,1.0,4,3.5,4.5
149,Lothar Frey,Tom Brooke,,,,,2,1.5,,,,,4,3.0,,,4.5
150,Mossador,Reece Noi,,,,,,,1,0.5,2,4.0,,,,,4.5
151,Pyat Pree,Ian Hanmore,,,3,4.5,,,,,,,,,,,4.5
152,Leaf,Octavia Selena Alexandru,,,,,,,1,1.0,,,3,3.25,,,4.25
153,Malko,Adewale Akinnuoye-Agbaje,,,,,,,,,2,4.0,,,,,4.0
154,Walda Bolton,Elizabeth Webster,,,,,,,1,0.5,3,2.0,1,1.5,,,4.0
155,Aeron Greyjoy,Michael Feast,,,,,,,,,,,2,3.75,,,3.75
156,Areo Hotah,Deobia Oparei,,,,,,,,,4,3.0,1,0.75,,,3.75
157,Loboda,Zachary Baharov,,,,,,,,,1,3.75,,,,,3.75
158,Robett Glover,Tim McInnerny,,,,,,,,,,,2,3.0,2,0.75,3.75
159,Trystane Martell,Toby Sebastian,,,,,,,,,4,3.0,1,0.75,,,3.75
160,Amory Lorch,Fintan McKeown,,,4,3.5,,,,,,,,,,,3.5
161,Bowen Marsh,Brian Fortune,,,,,,,,,7,1.5,3,2.0,,,3.5
162,Illyrio Mopatis,Roger Allam,2,3.5,,,,,,,,,,,,,3.5
163,Melessa Tarly,Samantha Spiro,,,,,,,,,,,1,3.5,,,3.5
164,Smalljon Umber,Dean S. Jagger,,,,,,,,,,,2,3.5,,,3.5
165,Kovarro,Steven Cole,,,6,3.25,,,,,,,,,,,3.25
166,Maester Cressen,Oliver Ford Davies,,,1,3.25,,,,,,,,,,,3.25
167,Marei,Josephine Gillan,,,2,0.5,1,0.5,2,1.75,1,0.25,1,0.25,,,3.25
168,Arthur Dayne,Luke Roberts,,,,,,,,,,,1,3.0,,,3.0
169,Hallyne,Roy Dotrice,,,2,3.0,,,,,,,,,,,3.0
170,Maester Wolkan,Richard Rycroft,,,,,,,,,,,2,0.75,5,2.25,3.0
171,Marillion,Emun Elliott,4,3.0,,,,,,,,,,,,,3.0
172,Mero,Mark Killeen,,,,,1,3.0,,,,,,,,,3.0
173,Vardis Egen,Brendan McCormack,2,3.0,,,,,,,,,,,,,3.0
174,Izembaro,Richard E. Grant,,,,,,,,,,,3,2.75,,,2.75
175,Joyeuse Erenford,Kelly Long,1,0.75,,,1,2.0,,,,,,,,,2.75
176,Lommy Greenhands,Eros Vlahos,1,0.25,3,2.5,,,,,,,,,,,2.75
177,Mord,Ciaran Bermingham,2,2.75,,,,,,,,,,,,,2.75
178,Old Nan,Margaret John,2,1.5,,,,,,,,,2,1.25,,,2.75
179,Waymar Royce,Rob Ostlere,1,2.75,,,,,,,,,,,,,2.75
180,Daisy,Maisie Dee,,,3,2.5,,,,,,,,,,,2.5
181,Gared,Dermot Keaney,1,2.5,,,,,,,,,,,,,2.5
182,Kinvara,Ania Bukstein,,,,,,,,,,,1,2.5,,,2.5
183,Lem Lemoncloak,Jóhannes Haukur Jóhannesson,,,,,,,,,,,2,2.5,,,2.5
184,Talla Tarly,Rebecca Benson,,,,,,,,,,,1,2.5,,,2.5
185,Ilyn Payne,Wilko Johnson,3,1.5,1,0.75,,,,,,,,,,,2.25
186,Lyanna Stark,Cordelia Hill (and others),,,,,,,,,,,2,2.25,,,2.25
187,Roslin Frey,Alexandra Dowling,,,,,1,2.25,,,,,,,,,2.25
188,Ternesio Terys,Gary Oliver,,,,,,,1,0.75,1,1.25,,,,,2.0
189,Hugh of the Vale,Jefferson Hall,2,1.75,,,,,,,,,,,,,1.75
190,Lollys Stokeworth,Elizabeth Cadwallader,,,,,,,,,1,1.75,,,,,1.75
191,Quaithe,Laura Pradelska,,,2,1.75,,,,,,,,,,,1.75
192,Rorge,Andy Beckwith,1,0.0,2,1.0,,,1,0.75,,,,,,,1.75
193,Tickler,Anthony Morris,,,2,1.75,,,,,,,,,,,1.75
194,Howland Reed,Leo Woodruff,,,,,,,,,,,1,1.5,,,1.5
195,Biter,Gerard Jordan,1,0.0,2,1.0,,,1,0.25,,,,,,,1.25
196,Lhara,Sarine Sofair,,,,,1,0.5,,,2,0.75,,,,,1.25
197,Mhaegen,Antonia Christophers,1,0.75,1,0.5,,,,,,,,,,,1.25
198,Tobho Mott,Andrew Wilde,2,1.25,,,,,,,,,,,,,1.25
